scenario_id,seat,metric,contrast,difference
A6,ego,q4,A-C,-0.1607142857
A7,ego,q4,A-C,-0.2857142857
B1,ego,q4,A-C,-0.2928571429
B2,ego,q4,A-C,-0.380952381
B3,ego,q4,A-C,-0.3333333333
B4,ego,q4,A-C,-0.5595238095
C1,ego,q4,A-C,-0.4285714286
A1,cp,q1_rev,A-W,1.130952381
A2,cp,q1_rev,A-W,1.75
A5,cp,q1_rev,A-W,3.148809524
A6,cp,q1_rev,A-W,-0.119047619
A7,cp,q1_rev,A-W,0.3452380952
B3,cp,q1_rev,A-W,-0.6428571429
B4,cp,q1_rev,A-W,0.5357142857
C1,cp,q1_rev,A-W,0.6547619048
A1,cp,q1_rev,C-W,0.8452380952
A2,cp,q1_rev,C-W,0.3214285714
A5,cp,q1_rev,C-W,2.422619048
A6,cp,q1_rev,C-W,0.375
A7,cp,q1_rev,C-W,1.089285714
B3,cp,q1_rev,C-W,0.3214285714
B4,cp,q1_rev,C-W,1.5
C1,cp,q1_rev,C-W,0.3571428571
C4,cp,q1_rev,C-W,1.30952381
A1,cp,q1_rev,A-C,0.2857142857
A2,cp,q1_rev,A-C,1.428571429
A3,cp,q1_rev,A-C,-0.05952380952
A4,cp,q1_rev,A-C,0.369047619
A5,cp,q1_rev,A-C,0.7261904762
A6,cp,q1_rev,A-C,-0.494047619
A7,cp,q1_rev,A-C,-0.744047619
B1,cp,q1_rev,A-C,0.2035714286
B2,cp,q1_rev,A-C,-0.9523809524
B3,cp,q1_rev,A-C,-0.9642857143
B4,cp,q1_rev,A-C,-0.9642857143
C1,cp,q1_rev,A-C,0.2976190476
A1,cp,q2_yield_bipolar,A-W,0.255952381
A2,cp,q2_yield_bipolar,A-W,-0.119047619
A5,cp,q2_yield_bipolar,A-W,-0.2797619048
A6,cp,q2_yield_bipolar,A-W,-0.6964285714
A7,cp,q2_yield_bipolar,A-W,-0.2380952381
B3,cp,q2_yield_bipolar,A-W,0.5952380952
B4,cp,q2_yield_bipolar,A-W,-0.6785714286
C1,cp,q2_yield_bipolar,A-W,-1.238095238
A1,cp,q2_yield_bipolar,C-W,0.3988095238
A2,cp,q2_yield_bipolar,C-W,1.238095238
A5,cp,q2_yield_bipolar,C-W,-0.005952380952
A6,cp,q2_yield_bipolar,C-W,0.5476190476
A7,cp,q2_yield_bipolar,C-W,-0.744047619
B3,cp,q2_yield_bipolar,C-W,0.6071428571
B4,cp,q2_yield_bipolar,C-W,-0.6071428571
C1,cp,q2_yield_bipolar,C-W,1.428571429
C4,cp,q2_yield_bipolar,C-W,0.4464285714
A1,cp,q2_yield_bipolar,A-C,-0.1428571429
A2,cp,q2_yield_bipolar,A-C,-1.357142857
A3,cp,q2_yield_bipolar,A-C,-1.142857143
A4,cp,q2_yield_bipolar,A-C,-0.5595238095
A5,cp,q2_yield_bipolar,A-C,-0.2738095238
A6,cp,q2_yield_bipolar,A-C,-1.244047619
A7,cp,q2_yield_bipolar,A-C,0.505952381
B1,cp,q2_yield_bipolar,A-C,-0.7238095238
B2,cp,q2_yield_bipolar,A-C,-1.416666667
B3,cp,q2_yield_bipolar,A-C,-0.0119047619
B4,cp,q2_yield_bipolar,A-C,-0.07142857143
C1,cp,q2_yield_bipolar,A-C,-2.666666667
A1,cp,q3,A-W,-0.6964285714
A2,cp,q3,A-W,-1.071428571
A5,cp,q3,A-W,-0.7619047619
A6,cp,q3,A-W,-0.1845238095
A7,cp,q3,A-W,-0.9642857143
B3,cp,q3,A-W,-0.5595238095
B4,cp,q3,A-W,-0.9285714286
C1,cp,q3,A-W,-1.035714286
A1,cp,q3,C-W,-0.2678571429
A2,cp,q3,C-W,-0.7142857143
A5,cp,q3,C-W,-0.2976190476
A6,cp,q3,C-W,-0.1785714286
A7,cp,q3,C-W,-0.5119047619
B3,cp,q3,C-W,-0.9642857143
B4,cp,q3,C-W,-0.3214285714
C1,cp,q3,C-W,-0.6428571429
C4,cp,q3,C-W,-0.4642857143
A1,cp,q3,A-C,-0.4285714286
A2,cp,q3,A-C,-0.3571428571
A3,cp,q3,A-C,-0.2738095238
A4,cp,q3,A-C,-0.9285714286
A5,cp,q3,A-C,-0.4642857143
A6,cp,q3,A-C,-0.005952380952
A7,cp,q3,A-C,-0.4523809524
B1,cp,q3,A-C,-0.2273809524
B2,cp,q3,A-C,-0.3095238095
B3,cp,q3,A-C,0.4047619048
B4,cp,q3,A-C,-0.6071428571
C1,cp,q3,A-C,-0.3928571429
A1,cp,q4,A-W,-1.101190476
A2,cp,q4,A-W,-1.333333333
A5,cp,q4,A-W,-0.8630952381
A6,cp,q4,A-W,-0.9702380952
A7,cp,q4,A-W,-1.166666667
B3,cp,q4,A-W,-1.166666667
B4,cp,q4,A-W,-1.130952381
C1,cp,q4,A-W,-1.226190476
A1,cp,q4,C-W,-0.3869047619
A2,cp,q4,C-W,-0.6904761905
A5,cp,q4,C-W,-0.3630952381
A6,cp,q4,C-W,-0.005952380952
A7,cp,q4,C-W,-0.03571428571
B3,cp,q4,C-W,-0.25
B4,cp,q4,C-W,-0.5714285714
C1,cp,q4,C-W,8.881784197e-16
C4,cp,q4,C-W,0.1011904762
A1,cp,q4,A-C,-0.7142857143
A2,cp,q4,A-C,-0.6428571429
A3,cp,q4,A-C,-1.19047619
A4,cp,q4,A-C,-0.7619047619
A5,cp,q4,A-C,-0.5
A6,cp,q4,A-C,-0.9642857143
A7,cp,q4,A-C,-1.130952381
B1,cp,q4,A-C,-0.8488095238
B2,cp,q4,A-C,-0.7619047619
B3,cp,q4,A-C,-0.9166666667
B4,cp,q4,A-C,-0.5595238095
C1,cp,q4,A-C,-1.226190476
A1,cp,q5_cost_cp,A-W,2.053571429
A2,cp,q5_cost_cp,A-W,1.75
A5,cp,q5_cost_cp,A-W,2.327380952
A6,cp,q5_cost_cp,A-W,1.875
A7,cp,q5_cost_cp,A-W,2.214285714
B3,cp,q5_cost_cp,A-W,1.69047619
B4,cp,q5_cost_cp,A-W,2.333333333
C1,cp,q5_cost_cp,A-W,1.797619048
A1,cp,q5_cost_cp,C-W,0.7678571429
A2,cp,q5_cost_cp,C-W,0.6785714286
A5,cp,q5_cost_cp,C-W,0.744047619
A6,cp,q5_cost_cp,C-W,0.7083333333
A7,cp,q5_cost_cp,C-W,1.160714286
B3,cp,q5_cost_cp,C-W,1.071428571
B4,cp,q5_cost_cp,C-W,1.071428571
C1,cp,q5_cost_cp,C-W,0.7142857143
C4,cp,q5_cost_cp,C-W,1.31547619
A1,cp,q5_cost_cp,A-C,1.285714286
A2,cp,q5_cost_cp,A-C,1.071428571
A3,cp,q5_cost_cp,A-C,2.047619048
A4,cp,q5_cost_cp,A-C,0.7261904762
A5,cp,q5_cost_cp,A-C,1.583333333
A6,cp,q5_cost_cp,A-C,1.166666667
A7,cp,q5_cost_cp,A-C,1.053571429
B1,cp,q5_cost_cp,A-C,0.95
B2,cp,q5_cost_cp,A-C,1.44047619
B3,cp,q5_cost_cp,A-C,0.619047619
B4,cp,q5_cost_cp,A-C,1.261904762
C1,cp,q5_cost_cp,A-C,1.083333333
A1,cp,q5b,A-W,0.07738095238
A2,cp,q5b,A-W,0.1071428571
A5,cp,q5b,A-W,-0.2142857143
A6,cp,q5b,A-W,0.03571428571
A7,cp,q5b,A-W,0.2976190476
B3,cp,q5b,A-W,-0.2142857143
B4,cp,q5b,A-W,0.25
C1,cp,q5b,A-W,0.0119047619
A1,cp,q5b,C-W,0.505952381
A2,cp,q5b,C-W,0.03571428571
A5,cp,q5b,C-W,-0.04761904762
A6,cp,q5b,C-W,0.1488095238
A7,cp,q5b,C-W,-0.07142857143
B3,cp,q5b,C-W,0.3214285714
B4,cp,q5b,C-W,0.2857142857
C1,cp,q5b,C-W,-0.07142857143
C4,cp,q5b,C-W,-0.119047619
A1,cp,q5b,A-C,-0.4285714286
A2,cp,q5b,A-C,0.07142857143
A3,cp,q5b,A-C,-0.130952381
A4,cp,q5b,A-C,-0.2857142857
A5,cp,q5b,A-C,-0.1666666667
A6,cp,q5b,A-C,-0.1130952381
A7,cp,q5b,A-C,0.369047619
B1,cp,q5b,A-C,0.2535714286
B2,cp,q5b,A-C,-0.119047619
B3,cp,q5b,A-C,-0.5357142857
B4,cp,q5b,A-C,-0.03571428571
C1,cp,q5b,A-C,0.08333333333
