pair_id,seat,metric,contrast,difference
P17,ego,q2_yield_bipolar,C-W,0.35
P18,ego,q2_yield_bipolar,C-W,-0.7166666667
P19,ego,q2_yield_bipolar,C-W,0.7
P20,ego,q2_yield_bipolar,C-W,0.85
P01,ego,q2_yield_bipolar,A-C,-0.6666666667
P02,ego,q2_yield_bipolar,A-C,0.2916666667
P03,ego,q2_yield_bipolar,A-C,-1.833333333
P04,ego,q2_yield_bipolar,A-C,-0.5
P05,ego,q2_yield_bipolar,A-C,0.1666666667
P06,ego,q2_yield_bipolar,A-C,-0.875
P07,ego,q2_yield_bipolar,A-C,-0.2083333333
P08,ego,q2_yield_bipolar,A-C,-0.25
P09,ego,q2_yield_bipolar,A-C,-1.25
P10,ego,q2_yield_bipolar,A-C,-0.375
P11,ego,q2_yield_bipolar,A-C,-0.5
P12,ego,q2_yield_bipolar,A-C,-0.525
P13,ego,q2_yield_bipolar,A-C,-0.9166666667
P14,ego,q2_yield_bipolar,A-C,-0.375
P15,ego,q2_yield_bipolar,A-C,-1.291666667
P16,ego,q2_yield_bipolar,A-C,-0.1666666667
P17,ego,q2_yield_bipolar,A-C,-0.75
P18,ego,q2_yield_bipolar,A-C,-0.2083333333
P19,ego,q2_yield_bipolar,A-C,-1
P20,ego,q2_yield_bipolar,A-C,0
P01,ego,q3,A-W,-0.175
P02,ego,q3,A-W,-0.475
P03,ego,q3,A-W,-1.525
P04,ego,q3,A-W,-1.025
P05,ego,q3,A-W,-1.55
P06,ego,q3,A-W,0
P07,ego,q3,A-W,-0.6
P08,ego,q3,A-W,-0.65
P09,ego,q3,A-W,-0.625
P10,ego,q3,A-W,-0.425
P11,ego,q3,A-W,-1
P12,ego,q3,A-W,-0.9
P13,ego,q3,A-W,-0.65
P14,ego,q3,A-W,-0.625
P15,ego,q3,A-W,-0.6
P16,ego,q3,A-W,-0.15
P17,ego,q3,A-W,-0.525
P18,ego,q3,A-W,-0.8583333333
P19,ego,q3,A-W,-0.35
P20,ego,q3,A-W,-0.875
P01,ego,q3,C-W,0.1166666667
P02,ego,q3,C-W,-0.6833333333
P03,ego,q3,C-W,-0.6083333333
P04,ego,q3,C-W,-0.7333333333
P05,ego,q3,C-W,-1.133333333
P06,ego,q3,C-W,0.25
P07,ego,q3,C-W,-0.6
P08,ego,q3,C-W,-0.4
P09,ego,q3,C-W,0.1666666667
P10,ego,q3,C-W,-0.6333333333
P11,ego,q3,C-W,-0.75
P12,ego,q3,C-W,-0.9833333333
P13,ego,q3,C-W,-0.4833333333
P14,ego,q3,C-W,0.1666666667
P15,ego,q3,C-W,-0.5166666667
P16,ego,q3,C-W,-0.4
P17,ego,q3,C-W,-0.65
P18,ego,q3,C-W,-0.4
P19,ego,q3,C-W,-0.6833333333
P20,ego,q3,C-W,-1.083333333
P01,ego,q3,A-C,-0.2916666667
P02,ego,q3,A-C,0.2083333333
P03,ego,q3,A-C,-0.9166666667
P04,ego,q3,A-C,-0.2916666667
P05,ego,q3,A-C,-0.4166666667
P06,ego,q3,A-C,-0.25
P07,ego,q3,A-C,0
P08,ego,q3,A-C,-0.25
P09,ego,q3,A-C,-0.7916666667
P10,ego,q3,A-C,0.2083333333
P11,ego,q3,A-C,-0.25
P12,ego,q3,A-C,0.08333333333
P13,ego,q3,A-C,-0.1666666667
P14,ego,q3,A-C,-0.7916666667
P15,ego,q3,A-C,-0.08333333333
P16,ego,q3,A-C,0.25
P17,ego,q3,A-C,0.125
P18,ego,q3,A-C,-0.4583333333
P19,ego,q3,A-C,0.3333333333
P20,ego,q3,A-C,0.2083333333
P01,ego,q4,A-W,-0.725
P02,ego,q4,A-W,-1
P03,ego,q4,A-W,-0.45
P04,ego,q4,A-W,-0.75
P05,ego,q4,A-W,-0.9
P06,ego,q4,A-W,-0.475
P07,ego,q4,A-W,-0.2
P08,ego,q4,A-W,-0.35
P09,ego,q4,A-W,-0.45
P10,ego,q4,A-W,-1.35
P11,ego,q4,A-W,-0.2
P12,ego,q4,A-W,-0.45
P13,ego,q4,A-W,-0.9
P14,ego,q4,A-W,-0.775
P15,ego,q4,A-W,-0.325
P16,ego,q4,A-W,-1.075
P17,ego,q4,A-W,-0.35
P18,ego,q4,A-W,-0.8166666667
P19,ego,q4,A-W,-0.875
P20,ego,q4,A-W,-0.9
P01,ego,q4,C-W,-0.01666666667
P02,ego,q4,C-W,-0.1666666667
P03,ego,q4,C-W,-0.325
P04,ego,q4,C-W,-0.75
P05,ego,q4,C-W,-0.5666666667
P06,ego,q4,C-W,-0.1
P07,ego,q4,C-W,-0.5333333333
P08,ego,q4,C-W,-0.1
P09,ego,q4,C-W,-0.1166666667
P10,ego,q4,C-W,-0.6833333333
P11,ego,q4,C-W,-0.2
P12,ego,q4,C-W,-0.01666666667
P13,ego,q4,C-W,-0.4833333333
P14,ego,q4,C-W,-0.4
P15,ego,q4,C-W,-0.3666666667
P16,ego,q4,C-W,-0.6166666667
P17,ego,q4,C-W,-0.1833333333
P18,ego,q4,C-W,-0.65
P19,ego,q4,C-W,-0.6666666667
P20,ego,q4,C-W,-0.2333333333
P01,ego,q4,A-C,-0.7083333333
P02,ego,q4,A-C,-0.8333333333
P03,ego,q4,A-C,-0.125
P04,ego,q4,A-C,0
P05,ego,q4,A-C,-0.3333333333
P06,ego,q4,A-C,-0.375
P07,ego,q4,A-C,0.3333333333
P08,ego,q4,A-C,-0.25
P09,ego,q4,A-C,-0.3333333333
P10,ego,q4,A-C,-0.6666666667
P11,ego,q4,A-C,0
P12,ego,q4,A-C,-0.4333333333
P13,ego,q4,A-C,-0.4166666667
P14,ego,q4,A-C,-0.375
P15,ego,q4,A-C,0.04166666667
P16,ego,q4,A-C,-0.4583333333
P17,ego,q4,A-C,-0.1666666667
P18,ego,q4,A-C,-0.1666666667
P19,ego,q4,A-C,-0.2083333333
P20,ego,q4,A-C,-0.6666666667
P01,cp,q1_rev,A-W,1.45
P02,cp,q1_rev,A-W,0.325
P03,cp,q1_rev,A-W,0.65
P04,cp,q1_rev,A-W,1
P05,cp,q1_rev,A-W,0.5
P06,cp,q1_rev,A-W,0.1
P07,cp,q1_rev,A-W,1.916666667
P08,cp,q1_rev,A-W,0.025
P09,cp,q1_rev,A-W,0.55
P10,cp,q1_rev,A-W,0.275
P11,cp,q1_rev,A-W,0.375
P12,cp,q1_rev,A-W,0.4
P13,cp,q1_rev,A-W,2.5
P14,cp,q1_rev,A-W,-0.65
P15,cp,q1_rev,A-W,0.05
P16,cp,q1_rev,A-W,0.225
P17,cp,q1_rev,A-W,0.625
P18,cp,q1_rev,A-W,0.6916666667
P19,cp,q1_rev,A-W,2.1
P20,cp,q1_rev,A-W,-0.325
P01,cp,q1_rev,C-W,0.95
P02,cp,q1_rev,C-W,0.7
P03,cp,q1_rev,C-W,0.3166666667
P04,cp,q1_rev,C-W,0.75
P05,cp,q1_rev,C-W,0.9166666667
P06,cp,q1_rev,C-W,0.35
P07,cp,q1_rev,C-W,1
P08,cp,q1_rev,C-W,0.9
P09,cp,q1_rev,C-W,0.8
P10,cp,q1_rev,C-W,0.5666666667
P11,cp,q1_rev,C-W,0.8333333333
P12,cp,q1_rev,C-W,0.35
P13,cp,q1_rev,C-W,1.416666667
P14,cp,q1_rev,C-W,0.6833333333
P15,cp,q1_rev,C-W,0.2166666667
P16,cp,q1_rev,C-W,0.5166666667
P17,cp,q1_rev,C-W,0.5
P18,cp,q1_rev,C-W,0.8166666667
P19,cp,q1_rev,C-W,0.9333333333
P20,cp,q1_rev,C-W,0.1333333333
P01,cp,q1_rev,A-C,0.5
P02,cp,q1_rev,A-C,-0.375
P03,cp,q1_rev,A-C,0.3333333333
P04,cp,q1_rev,A-C,0.25
P05,cp,q1_rev,A-C,-0.4166666667
P06,cp,q1_rev,A-C,-0.25
P07,cp,q1_rev,A-C,0.9166666667
P08,cp,q1_rev,A-C,-0.875
P09,cp,q1_rev,A-C,-0.25
P10,cp,q1_rev,A-C,-0.2916666667
P11,cp,q1_rev,A-C,-0.4583333333
P12,cp,q1_rev,A-C,0.05
P13,cp,q1_rev,A-C,1.083333333
P14,cp,q1_rev,A-C,-1.333333333
P15,cp,q1_rev,A-C,-0.1666666667
P16,cp,q1_rev,A-C,-0.2916666667
P17,cp,q1_rev,A-C,0.125
P18,cp,q1_rev,A-C,-0.125
P19,cp,q1_rev,A-C,1.166666667
P20,cp,q1_rev,A-C,-0.4583333333
P01,cp,q2_yield_bipolar,A-W,-1.175
P02,cp,q2_yield_bipolar,A-W,-0.725
P03,cp,q2_yield_bipolar,A-W,-0.975
P04,cp,q2_yield_bipolar,A-W,0.025
P05,cp,q2_yield_bipolar,A-W,0
P06,cp,q2_yield_bipolar,A-W,-0.075
P07,cp,q2_yield_bipolar,A-W,0.8916666667
P08,cp,q2_yield_bipolar,A-W,-0.675
P09,cp,q2_yield_bipolar,A-W,-0.9
P10,cp,q2_yield_bipolar,A-W,-0.4
P11,cp,q2_yield_bipolar,A-W,0.2
P12,cp,q2_yield_bipolar,A-W,0.875
P13,cp,q2_yield_bipolar,A-W,0.05
P14,cp,q2_yield_bipolar,A-W,0.05
P15,cp,q2_yield_bipolar,A-W,-0.35
P16,cp,q2_yield_bipolar,A-W,-1.025
P17,cp,q2_yield_bipolar,A-W,0.925
P18,cp,q2_yield_bipolar,A-W,-0.7666666667
P19,cp,q2_yield_bipolar,A-W,-0.625
P20,cp,q2_yield_bipolar,A-W,0.125
P01,cp,q2_yield_bipolar,C-W,0.2
P02,cp,q2_yield_bipolar,C-W,-0.35
P03,cp,q2_yield_bipolar,C-W,0.525
P04,cp,q2_yield_bipolar,C-W,0.9
P05,cp,q2_yield_bipolar,C-W,0.5833333333
P06,cp,q2_yield_bipolar,C-W,0.1333333333
P07,cp,q2_yield_bipolar,C-W,0.4333333333
P08,cp,q2_yield_bipolar,C-W,0.03333333333
P09,cp,q2_yield_bipolar,C-W,0.01666666667
P10,cp,q2_yield_bipolar,C-W,0.2666666667
P11,cp,q2_yield_bipolar,C-W,0.5333333333
P12,cp,q2_yield_bipolar,C-W,0.7833333333
P13,cp,q2_yield_bipolar,C-W,0.7166666667
P14,cp,q2_yield_bipolar,C-W,0.05
P15,cp,q2_yield_bipolar,C-W,-0.01666666667
P16,cp,q2_yield_bipolar,C-W,0.6
P17,cp,q2_yield_bipolar,C-W,1.55
P18,cp,q2_yield_bipolar,C-W,0.3166666667
P19,cp,q2_yield_bipolar,C-W,1
P20,cp,q2_yield_bipolar,C-W,0.75
P01,cp,q2_yield_bipolar,A-C,-1.375
P02,cp,q2_yield_bipolar,A-C,-0.375
P03,cp,q2_yield_bipolar,A-C,-1.5
P04,cp,q2_yield_bipolar,A-C,-0.875
P05,cp,q2_yield_bipolar,A-C,-0.5833333333
P06,cp,q2_yield_bipolar,A-C,-0.2083333333
P07,cp,q2_yield_bipolar,A-C,0.4583333333
P08,cp,q2_yield_bipolar,A-C,-0.7083333333
P09,cp,q2_yield_bipolar,A-C,-0.9166666667
P10,cp,q2_yield_bipolar,A-C,-0.6666666667
P11,cp,q2_yield_bipolar,A-C,-0.3333333333
P12,cp,q2_yield_bipolar,A-C,0.09166666667
P13,cp,q2_yield_bipolar,A-C,-0.6666666667
P14,cp,q2_yield_bipolar,A-C,0
P15,cp,q2_yield_bipolar,A-C,-0.3333333333
P16,cp,q2_yield_bipolar,A-C,-1.625
P17,cp,q2_yield_bipolar,A-C,-0.625
P18,cp,q2_yield_bipolar,A-C,-1.083333333
P19,cp,q2_yield_bipolar,A-C,-1.625
P20,cp,q2_yield_bipolar,A-C,-0.625
P01,cp,q3,A-W,-0.975
P02,cp,q3,A-W,-1.05
P03,cp,q3,A-W,-0.175
P04,cp,q3,A-W,-1.225
P05,cp,q3,A-W,-0.275
P06,cp,q3,A-W,-1.45
P07,cp,q3,A-W,-0.3333333333
P08,cp,q3,A-W,-1
P09,cp,q3,A-W,-0.425
P10,cp,q3,A-W,-0.525
P11,cp,q3,A-W,-1.2
P12,cp,q3,A-W,-0.9
P13,cp,q3,A-W,-0.6
P14,cp,q3,A-W,-0.55
P15,cp,q3,A-W,-0.875
P16,cp,q3,A-W,-0.7
P17,cp,q3,A-W,-1.15
P18,cp,q3,A-W,-0.8083333333
P19,cp,q3,A-W,-0.85
P20,cp,q3,A-W,-1.375
P01,cp,q3,C-W,-0.7666666667
P02,cp,q3,C-W,-1.133333333
P03,cp,q3,C-W,-1.008333333
P04,cp,q3,C-W,-0.6
P05,cp,q3,C-W,0.1
P06,cp,q3,C-W,-0.7
P07,cp,q3,C-W,-0.5
P08,cp,q3,C-W,-1.166666667
P09,cp,q3,C-W,-0.6333333333
P10,cp,q3,C-W,0.01666666667
P11,cp,q3,C-W,0.05
P12,cp,q3,C-W,-0.45
P13,cp,q3,C-W,-0.4333333333
P14,cp,q3,C-W,-0.05
P15,cp,q3,C-W,-0.25
P16,cp,q3,C-W,-0.45
P17,cp,q3,C-W,-0.8166666667
P18,cp,q3,C-W,-0.1
P19,cp,q3,C-W,-0.7666666667
P20,cp,q3,C-W,-0.75
P01,cp,q3,A-C,-0.2083333333
P02,cp,q3,A-C,0.08333333333
P03,cp,q3,A-C,0.8333333333
P04,cp,q3,A-C,-0.625
P05,cp,q3,A-C,-0.375
P06,cp,q3,A-C,-0.75
P07,cp,q3,A-C,0.1666666667
P08,cp,q3,A-C,0.1666666667
P09,cp,q3,A-C,0.2083333333
P10,cp,q3,A-C,-0.5416666667
P11,cp,q3,A-C,-1.25
P12,cp,q3,A-C,-0.45
P13,cp,q3,A-C,-0.1666666667
P14,cp,q3,A-C,-0.5
P15,cp,q3,A-C,-0.625
P16,cp,q3,A-C,-0.25
P17,cp,q3,A-C,-0.3333333333
P18,cp,q3,A-C,-0.7083333333
P19,cp,q3,A-C,-0.08333333333
P20,cp,q3,A-C,-0.625
P01,cp,q4,A-W,-0.85
P02,cp,q4,A-W,-1.425
P03,cp,q4,A-W,-1.225
P04,cp,q4,A-W,-1.225
P05,cp,q4,A-W,-1.3
P06,cp,q4,A-W,-1.65
P07,cp,q4,A-W,-0.6666666667
P08,cp,q4,A-W,-1.725
P09,cp,q4,A-W,-1.025
P10,cp,q4,A-W,-1.175
P11,cp,q4,A-W,-0.875
P12,cp,q4,A-W,-1
P13,cp,q4,A-W,-0.9
P14,cp,q4,A-W,-0.75
P15,cp,q4,A-W,-0.925
P16,cp,q4,A-W,-1.5
P17,cp,q4,A-W,-1.175
P18,cp,q4,A-W,-0.85
P19,cp,q4,A-W,-0.825
P20,cp,q4,A-W,-0.75
P01,cp,q4,C-W,-0.1
P02,cp,q4,C-W,0.03333333333
P03,cp,q4,C-W,-0.1416666667
P04,cp,q4,C-W,-0.6833333333
P05,cp,q4,C-W,-0.4666666667
P06,cp,q4,C-W,-0.4
P07,cp,q4,C-W,0.25
P08,cp,q4,C-W,-0.85
P09,cp,q4,C-W,-0.2333333333
P10,cp,q4,C-W,-0.2166666667
P11,cp,q4,C-W,0.08333333333
P12,cp,q4,C-W,-0.06666666667
P13,cp,q4,C-W,-0.3166666667
P14,cp,q4,C-W,0.1666666667
P15,cp,q4,C-W,-0.55
P16,cp,q4,C-W,-0.5
P17,cp,q4,C-W,-0.3
P18,cp,q4,C-W,-0.1833333333
P19,cp,q4,C-W,0.1333333333
P20,cp,q4,C-W,-0.08333333333
P01,cp,q4,A-C,-0.75
P02,cp,q4,A-C,-1.458333333
P03,cp,q4,A-C,-1.083333333
P04,cp,q4,A-C,-0.5416666667
P05,cp,q4,A-C,-0.8333333333
P06,cp,q4,A-C,-1.25
P07,cp,q4,A-C,-0.9166666667
P08,cp,q4,A-C,-0.875
P09,cp,q4,A-C,-0.7916666667
P10,cp,q4,A-C,-0.9583333333
P11,cp,q4,A-C,-0.9583333333
P12,cp,q4,A-C,-0.9333333333
P13,cp,q4,A-C,-0.5833333333
P14,cp,q4,A-C,-0.9166666667
P15,cp,q4,A-C,-0.375
P16,cp,q4,A-C,-1
P17,cp,q4,A-C,-0.875
P18,cp,q4,A-C,-0.6666666667
P19,cp,q4,A-C,-0.9583333333
P20,cp,q4,A-C,-0.6666666667
P01,cp,q5_cost_cp,A-W,2.15
P02,cp,q5_cost_cp,A-W,2.175
P03,cp,q5_cost_cp,A-W,1.825
P04,cp,q5_cost_cp,A-W,1.65
P05,cp,q5_cost_cp,A-W,2.525
P06,cp,q5_cost_cp,A-W,2.375
P07,cp,q5_cost_cp,A-W,3.108333333
P08,cp,q5_cost_cp,A-W,1.9
P09,cp,q5_cost_cp,A-W,2.525
P10,cp,q5_cost_cp,A-W,2.05
P11,cp,q5_cost_cp,A-W,1.875
P12,cp,q5_cost_cp,A-W,1.675
P13,cp,q5_cost_cp,A-W,1.975
P14,cp,q5_cost_cp,A-W,1.15
P15,cp,q5_cost_cp,A-W,2.35
P16,cp,q5_cost_cp,A-W,2.3
P17,cp,q5_cost_cp,A-W,1.725
P18,cp,q5_cost_cp,A-W,1.85
P19,cp,q5_cost_cp,A-W,1.625
P20,cp,q5_cost_cp,A-W,2.6
P01,cp,q5_cost_cp,C-W,0.65
P02,cp,q5_cost_cp,C-W,1.05
P03,cp,q5_cost_cp,C-W,0.325
P04,cp,q5_cost_cp,C-W,0.65
P05,cp,q5_cost_cp,C-W,0.8166666667
P06,cp,q5_cost_cp,C-W,1.166666667
P07,cp,q5_cost_cp,C-W,1.483333333
P08,cp,q5_cost_cp,C-W,0.8166666667
P09,cp,q5_cost_cp,C-W,1.066666667
P10,cp,q5_cost_cp,C-W,0.9666666667
P11,cp,q5_cost_cp,C-W,1.083333333
P12,cp,q5_cost_cp,C-W,0.8833333333
P13,cp,q5_cost_cp,C-W,1.35
P14,cp,q5_cost_cp,C-W,0.65
P15,cp,q5_cost_cp,C-W,1.35
P16,cp,q5_cost_cp,C-W,0.7166666667
P17,cp,q5_cost_cp,C-W,0.6
P18,cp,q5_cost_cp,C-W,0.7666666667
P19,cp,q5_cost_cp,C-W,0.4166666667
P20,cp,q5_cost_cp,C-W,1.35
P01,cp,q5_cost_cp,A-C,1.5
P02,cp,q5_cost_cp,A-C,1.125
P03,cp,q5_cost_cp,A-C,1.5
P04,cp,q5_cost_cp,A-C,1
P05,cp,q5_cost_cp,A-C,1.708333333
P06,cp,q5_cost_cp,A-C,1.208333333
P07,cp,q5_cost_cp,A-C,1.625
P08,cp,q5_cost_cp,A-C,1.083333333
P09,cp,q5_cost_cp,A-C,1.458333333
P10,cp,q5_cost_cp,A-C,1.083333333
P11,cp,q5_cost_cp,A-C,0.7916666667
P12,cp,q5_cost_cp,A-C,0.7916666667
P13,cp,q5_cost_cp,A-C,0.625
P14,cp,q5_cost_cp,A-C,0.5
P15,cp,q5_cost_cp,A-C,1
P16,cp,q5_cost_cp,A-C,1.583333333
P17,cp,q5_cost_cp,A-C,1.125
P18,cp,q5_cost_cp,A-C,1.083333333
P19,cp,q5_cost_cp,A-C,1.208333333
P20,cp,q5_cost_cp,A-C,1.25
P01,cp,q5b,A-W,0.35
P02,cp,q5b,A-W,-0.35
P03,cp,q5b,A-W,0.125
P04,cp,q5b,A-W,0.3
P05,cp,q5b,A-W,-0.55
P06,cp,q5b,A-W,-0.025
P07,cp,q5b,A-W,-0.025
P08,cp,q5b,A-W,0.075
P09,cp,q5b,A-W,0.225
P10,cp,q5b,A-W,0.175
P11,cp,q5b,A-W,0.025
P12,cp,q5b,A-W,0.225
P13,cp,q5b,A-W,-0.325
P14,cp,q5b,A-W,0.175
P15,cp,q5b,A-W,0
P16,cp,q5b,A-W,0.05
P17,cp,q5b,A-W,-0.55
P18,cp,q5b,A-W,-0.025
P19,cp,q5b,A-W,0.35
P20,cp,q5b,A-W,0.425
P01,cp,q5b,C-W,0.35
P02,cp,q5b,C-W,0.2333333333
P03,cp,q5b,C-W,0.2916666667
P04,cp,q5b,C-W,-0.2833333333
P05,cp,q5b,C-W,-0.3
P06,cp,q5b,C-W,0.1
P07,cp,q5b,C-W,0.35
P08,cp,q5b,C-W,0.2833333333
P09,cp,q5b,C-W,0.1833333333
P10,cp,q5b,C-W,0.05
P11,cp,q5b,C-W,-0.01666666667
P12,cp,q5b,C-W,0.15
P13,cp,q5b,C-W,-0.03333333333
P14,cp,q5b,C-W,0.55
P15,cp,q5b,C-W,-0.08333333333
P16,cp,q5b,C-W,-0.1166666667
P17,cp,q5b,C-W,-0.1333333333
P18,cp,q5b,C-W,-0.2333333333
P19,cp,q5b,C-W,0.1
P20,cp,q5b,C-W,0.3833333333
P01,cp,q5b,A-C,0
P02,cp,q5b,A-C,-0.5833333333
P03,cp,q5b,A-C,-0.1666666667
P04,cp,q5b,A-C,0.5833333333
P05,cp,q5b,A-C,-0.25
P06,cp,q5b,A-C,-0.125
P07,cp,q5b,A-C,-0.375
P08,cp,q5b,A-C,-0.2083333333
P09,cp,q5b,A-C,0.04166666667
P10,cp,q5b,A-C,0.125
P11,cp,q5b,A-C,0.04166666667
P12,cp,q5b,A-C,0.075
P13,cp,q5b,A-C,-0.2916666667
P14,cp,q5b,A-C,-0.375
P15,cp,q5b,A-C,0.08333333333
P16,cp,q5b,A-C,0.1666666667
P17,cp,q5b,A-C,-0.4166666667
P18,cp,q5b,A-C,0.2083333333
P19,cp,q5b,A-C,0.25
P20,cp,q5b,A-C,0.04166666667
