area,team_code,official_name,scenario,safety,efficiency,comfort,compliance,coordination,comprehensive,area_rank
shanghai,T8,ADVRC,A6,100,76.06,100,100,79.94,85.46,5
shanghai,T8,ADVRC,A7,100,98,100,90,80.77,96.10,5
shanghai,T8,ADVRC,B1,100,53.3,96.85,100,68.15,69.99,5
shanghai,T8,ADVRC,B2,100,60.55,98.58,100,80.63,75.98,5
shanghai,T8,ADVRC,B3,100,68.58,97.03,100,84.91,80.83,5
shanghai,T8,ADVRC,B4,100,50.82,99.11,75,74.75,67.52,5
shanghai,T8,ADVRC,C1,100,73.14,98.71,100,82.74,83.71,5
shanghai,T8,ADVRC,C2,100,93.93,100,75,93.81,93.89,5
shanghai,T8,ADVRC,C3,100,39.95,99.34,100,63.3,60.76,5
shanghai,T8,ADVRC,C4,100,55.59,98.08,100,81.79,72.77,5
